,organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,samples,reads,relative
464,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1147.802533436214,0.04392602494616603
465,Eggerthella lenta DSM 2243,Eggerthella lenta DSM 2243 (479437.5),Nanaerobe,Asaccharolytic,Positive,Commensal,594.0,1046.0,848.0,chenry,09/09/14,479437.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella_lenta.json,Eggerthella lenta DSM 2243,kb|g.1738,Eggerthella_lenta,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1243.4527445558986,0.0475865270250132
466,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1347.0738066022234,0.0515520709437643
467,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1459.3299571524085,0.05584807685574465
468,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1580.9407869151091,0.060502083260390034
469,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1712.6858524913685,0.06554392353208921
470,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",1855.4096735323158,0.07100591715976332
471,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,"syncom-CD,ER,DP,CA,PC,EL,CH,BO,BT,BU,BV,CS",2010.0271463266754,0.07692307692307691
472,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,ER,FP,EL,BO,BT,CS",1428.5714285714287,0.05609941482543945
473,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,"syncom-CD,ER,FP,EL,BO,BT,CS",1632.6530612244899,0.06411361694335938
474,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,"syncom-CD,ER,FP,EL,BO,BT,CS",1865.8892128279883,0.07327270507812499
475,Eggerthella lenta DSM 2243,Eggerthella lenta DSM 2243 (479437.5),Nanaerobe,Asaccharolytic,Positive,Commensal,594.0,1046.0,848.0,chenry,09/09/14,479437.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella_lenta.json,Eggerthella lenta DSM 2243,kb|g.1738,Eggerthella_lenta,species,"syncom-CD,ER,FP,EL,BO,BT,CS",2132.444814660558,0.083740234375
476,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,"syncom-CD,ER,FP,EL,BO,BT,CS",2437.079788183495,0.095703125
477,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,"syncom-CD,ER,FP,EL,BO,BT,CS",2785.23404363828,0.109375
478,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,"syncom-CD,ER,FP,EL,BO,BT,CS",3183.1246213008917,0.125
479,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,DP,FP,CA",2500.0,0.1024
480,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,"syncom-CD,DP,FP,CA",3125.0,0.128
481,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,"syncom-CD,DP,FP,CA",3906.25,0.16
482,Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,"syncom-CD,DP,FP,CA",4882.8125,0.2
483,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1111.111111111111,0.043046720999999996
484,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1234.567901234568,0.04782969
485,Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1371.7421124828534,0.05314410000000001
486,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1524.1579027587259,0.059049000000000004
487,Eggerthella lenta DSM 2243,Eggerthella lenta DSM 2243 (479437.5),Nanaerobe,Asaccharolytic,Positive,Commensal,594.0,1046.0,848.0,chenry,09/09/14,479437.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella_lenta.json,Eggerthella lenta DSM 2243,kb|g.1738,Eggerthella_lenta,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1693.5087808430285,0.06560999999999999
488,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",1881.6764231589207,0.07289999999999999
489,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",2090.75158128769,0.08100000000000002
490,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",2323.0573125418773,0.09
491,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,"syncom-CD,ER,CA,PC,EL,BO,BT,BV,CS",2581.174791713197,0.09999999999999999
492,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,DP,CA,EL",2500.0,0.1024
493,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,"syncom-CD,DP,CA,EL",3125.0,0.128
494,Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,"syncom-CD,DP,CA,EL",3906.25,0.16
495,Eggerthella lenta DSM 2243,Eggerthella lenta DSM 2243 (479437.5),Nanaerobe,Asaccharolytic,Positive,Commensal,594.0,1046.0,848.0,chenry,09/09/14,479437.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella_lenta.json,Eggerthella lenta DSM 2243,kb|g.1738,Eggerthella_lenta,species,"syncom-CD,DP,CA,EL",4882.8125,0.2
496,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",769.2307692307693,0.029353220964958734
497,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",828.4023668639054,0.031611161039186327
498,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",892.1256258534365,0.034042788811431426
499,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",960.7506739960086,0.036661464873849234
500,Blautia hydrogenotrophica DSM 10507,Blautia hydrogenotrophica DSM 10507 (476272.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,827.0,1637.0,1177.0,Ines Thiele,08/06/12,476272.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Blautia_hydrogenotrophica.json,Blautia hydrogenotrophica DSM 10507,,Blautia_hydrogenotrophica,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1034.6545719957014,0.03948157755645301
501,Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1114.24338522614,0.042518621983872476
502,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1199.95441485892,0.04578928521340113
503,Eggerthella lenta DSM 2243,Eggerthella lenta DSM 2243 (479437.5),Nanaerobe,Asaccharolytic,Positive,Commensal,594.0,1046.0,848.0,chenry,09/09/14,479437.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella_lenta.json,Eggerthella lenta DSM 2243,kb|g.1738,Eggerthella_lenta,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1292.2586006172985,0.049311537922124296
504,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1391.6631083570906,0.05310473314690308
505,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1498.7141166922515,0.05718971261974179
506,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1613.9998179762708,0.061588921282798845
507,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1738.1536501282915,0.0663265306122449
508,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,"syncom-CD,ER,DP,FP,BH,CA,PC,EL,CH,BT,BU,BV,CS",1871.857777061237,0.07142857142857142
509,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",909.0909090909091,0.03490865732371608
510,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",991.7355371900827,0.03808217162587209
511,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1081.893313298272,0.041544187228224096
512,Blautia hydrogenotrophica DSM 10507,Blautia hydrogenotrophica DSM 10507 (476272.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,827.0,1637.0,1177.0,Ines Thiele,08/06/12,476272.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Blautia_hydrogenotrophica.json,Blautia hydrogenotrophica DSM 10507,,Blautia_hydrogenotrophica,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1180.2472508708422,0.04532093152169901
513,Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1287.542455495464,0.049441016205489824
514,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1404.5917696314154,0.05393565404235254
515,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1532.2819305069986,0.058838895318930044
516,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1671.5802878258166,0.06418788580246913
517,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1823.5421321736183,0.07002314814814815
518,Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus ATCC 8482 (435590.9),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,884.0,2474.0,1395.0,Eugen Bauer,08/03/14,435590.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales family,Phocaeicola,Phocaeicola vulgatus,Phocaeicola_vulgatus.json,Bacteroides vulgatus ATCC 8482,,Phocaeicola_vulgatus,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",1989.3186896439472,0.0763888888888889
519,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,"syncom-CD,ER,DP,BH,CA,PC,CH,BO,BU,BV,CS",2170.165843247942,0.08333333333333333
